Unix Time,Arduino Force Value,Actual Force,Thermocouple Value One,Thermocouple Value Two
1651089594.311549,0,0.0, 44.25," 31.00
"
1651089594.324064,0,0.0, 44.50," 31.25
"
1651089594.3347032,0,0.0, 44.50," 31.25
"
1651089594.3456798,0,0.0, 44.75," 31.25
"
1651089594.356611,0,0.0, 44.75," 31.25
"
1651089594.366605,0,0.0, 45.00," 31.25
"
1651089594.378599,0,0.0, 45.00," 31.25
"
1651089594.3896909,0,0.0, 45.00," 31.25
"
1651089594.400942,0,0.0, 45.25," 31.25
"
1651089594.412672,0,0.0, 45.25," 31.25
"
1651089594.4246678,0,0.0, 45.50," 31.25
"
1651089594.437171,0,0.0, 45.50," 31.25
"
1651089594.4487731,0,0.0, 45.75," 31.25
"
1651089594.460522,0,0.0, 45.75," 31.25
"
1651089594.473079,0,0.0, 45.75," 31.25
"
1651089594.491958,0,0.0, 46.00," 31.25
"
1651089594.5052009,0,0.0, 46.00," 31.50
"
1651089594.5174248,0,0.0, 46.00," 31.25
"
1651089594.53069,0,0.0, 46.25," 31.50
"
1651089594.542848,0,0.0, 46.25," 31.50
"
1651089594.555004,0,0.0, 46.50," 31.50
"
1651089594.594113,0,0.0, 46.50," 31.50
"
1651089594.631267,0,0.0, 46.50," 31.50
"
1651089594.6678321,0,0.0, 46.50," 31.50
"
1651089594.700624,0,0.0, 46.50," 31.50
"
1651089594.738417,0,0.0, 46.50," 31.50
"
1651089594.7747252,0,0.0, 46.50," 31.50
"
1651089594.8277912,0,0.0, 46.50," 31.50
"
1651089594.860352,0,0.0, 46.50," 31.50
"
1651089594.8973598,0,0.0, 46.50," 31.50
"
1651089594.934612,0,0.0, 46.50," 31.50
"
1651089594.972378,0,0.0, 46.50," 31.50
"
1651089595.020372,0,0.0, 46.75," 31.50
"
1651089595.056992,0,0.0, 46.75," 31.50
"
1651089595.089806,0,0.0, 46.50," 31.50
"
1651089595.127007,0,0.0, 46.50," 31.50
"
1651089595.163614,0,0.0, 46.50," 31.50
"
1651089595.2168572,0,0.0, 46.50," 31.50
"
1651089595.2495308,0,0.0, 46.50," 31.50
"
1651089595.286308,0,0.0, 46.50," 31.50
"
1651089595.323252,0,0.0, 46.50," 31.50
"
1651089595.355911,0,0.0, 46.50," 31.50
"
1651089595.392811,0,0.0, 46.75," 31.50
"
1651089595.4258041,0,0.0, 46.75," 31.50
"
1651089595.462525,0,0.0, 46.75," 31.50
"
1651089595.499396,0,0.0, 46.75," 31.50
"
1651089595.53205,0,0.0, 46.75," 31.50
"
1651089595.568911,0,0.0, 46.75," 31.50
"
1651089595.6059499,0,0.0, 46.75," 31.50
"
1651089595.638596,0,0.0, 46.75," 31.50
"
1651089595.6761239,0,0.0, 46.75," 31.50
"
1651089595.7125041,0,0.0, 46.75," 31.50
"
1651089595.745027,0,0.0, 46.75," 31.50
"
1651089595.782173,0,0.0, 46.75," 31.50
"
1651089595.814822,0,0.0, 46.75," 31.50
"
1651089595.851661,0,0.0, 46.75," 31.50
"
1651089595.888587,0,0.0, 46.75," 31.50
"
1651089595.921227,0,0.0, 46.75," 31.50
"
1651089595.958084,0,0.0, 46.75," 31.50
"
1651089595.9949172,0,0.0, 46.75," 31.50
"
1651089596.028074,0,0.0, 46.75," 31.50
"
1651089596.0646331,0,0.0, 46.75," 31.50
"
1651089596.101459,0,0.0, 46.75," 31.50
"
1651089596.1345432,0,0.0, 46.75," 31.50
"
1651089596.171013,0,0.0, 46.75," 31.50
"
1651089596.2039318,0,0.0, 46.75," 31.50
"
1651089596.2406578,0,0.0, 46.75," 31.50
"
1651089596.277539,0,0.0, 46.75," 31.50
"
1651089596.3103302,0,0.0, 46.75," 31.50
"
1651089596.3472798,0,0.0, 46.75," 31.50
"
1651089596.3841221,0,0.0, 46.75," 31.50
"
1651089596.4168289,0,0.0, 46.75," 31.50
"
1651089596.4537768,0,0.0, 46.75," 31.50
"
1651089596.490891,0,0.0, 46.75," 31.50
"
1651089596.523317,0,0.0, 46.75," 31.50
"
1651089596.560137,0,0.0, 46.75," 31.50
"
1651089596.592973,0,0.0, 46.75," 31.50
"
1651089596.6298282,0,0.0, 46.75," 31.50
"
1651089596.666612,0,0.0, 46.75," 31.50
"
1651089596.6995258,0,0.0, 46.75," 31.50
"
1651089596.7363598,0,0.0, 46.75," 31.50
"
1651089596.773191,0,0.0, 46.75," 31.50
"
1651089596.805994,0,0.0, 46.75," 31.50
"
1651089596.842887,0,0.0, 46.75," 31.50
"
1651089596.8795872,0,0.0, 46.75," 31.50
"
1651089596.912412,0,0.0, 46.75," 31.50
"
1651089596.949246,0,0.0, 46.75," 31.75
"
1651089596.98223,0,0.0, 46.75," 31.75
"
1651089597.0188632,0,0.0, 46.75," 31.50
"
1651089597.055753,0,0.0, 46.75," 31.50
"
1651089597.088614,0,0.0, 46.75," 31.50
"
1651089597.125391,0,0.0, 46.75," 31.50
"
1651089597.16221,0,0.0, 46.75," 31.50
"
1651089597.1950169,0,0.0, 46.75," 31.50
"
1651089597.231863,0,0.0, 46.75," 31.75
"
1651089597.2686741,0,0.0, 46.75," 31.75
"
1651089597.301507,0,0.0, 46.75," 31.50
"
1651089597.33834,0,0.0, 46.75," 31.50
"
1651089597.3711958,0,0.0, 46.75," 31.50
"
1651089597.407974,0,0.0, 46.75," 31.50
"
1651089597.444789,0,0.0, 46.75," 31.50
"
1651089597.477792,0,0.0, 46.75," 31.50
"
1651089597.514549,0,0.0, 46.75," 31.75
"
1651089597.551409,0,0.0, 46.75," 31.75
"
1651089597.5841222,0,0.0, 46.75," 31.50
"
1651089597.6209888,0,0.0, 46.75," 31.50
"
1651089597.6578481,0,0.0, 46.75," 31.50
"
1651089597.6906428,0,0.0, 46.75," 31.50
"
1651089597.7276511,0,0.0, 46.75," 31.50
"
1651089597.760279,0,0.0, 46.75," 31.50
"
1651089597.797385,0,0.0, 46.75," 31.50
"
1651089597.834021,0,0.0, 47.00," 31.50
"
1651089597.8667111,0,0.0, 47.00," 31.50
"
1651089597.903659,0,0.0, 47.00," 31.50
"
1651089597.940491,0,0.0, 47.00," 31.50
"
1651089597.973473,0,0.0, 47.00," 31.50
"
1651089598.0101209,0,0.0, 47.00," 31.50
"
1651089598.04719,0,0.0, 47.00," 31.50
"
1651089598.079873,0,0.0, 47.00," 31.50
"
1651089598.116724,0,0.0, 47.00," 31.50
"
1651089598.149486,0,0.0, 47.00," 31.50
"
1651089598.1862972,0,0.0, 47.00," 31.50
"
1651089598.2232041,0,0.0, 47.00," 31.50
"
1651089598.255888,0,0.0, 47.00," 31.75
"
1651089598.2926872,0,0.0, 46.75," 31.75
"
1651089598.329806,0,0.0, 46.75," 31.50
"
1651089598.3623822,0,0.0, 47.00," 31.50
"
1651089598.3993,0,0.0, 47.00," 31.50
"
1651089598.436044,0,0.0, 47.00," 31.50
"
1651089598.4688241,0,0.0, 47.00," 31.50
"
1651089598.5059252,0,0.0, 47.00," 31.50
"
1651089598.538538,0,0.0, 47.00," 31.50
"
1651089598.575503,0,0.0, 47.00," 31.50
"
1651089598.612428,0,0.0, 47.00," 31.50
"
1651089598.645109,0,0.0, 47.00," 31.50
"
1651089598.6819031,0,0.0, 47.00," 31.50
"
