Unix Time,Arduino Force Value,Actual Force,Thermocouple Value One,Thermocouple Value Two
1651086227.054147,622,0.38532532484411675, 44.50," 18.50
"
1651086227.06646,625,0.3871838071182845, 44.50," 18.50
"
1651086227.117446,623,0.385944818935506, 44.50," 18.50
"
1651086227.1586492,623,0.385944818935506, 44.50," 18.50
"
1651086227.215841,625,0.3871838071182845, 44.25," 18.50
"
1651086227.2570539,623,0.385944818935506, 44.50," 18.50
"
1651086227.2937229,622,0.38532532484411675, 44.50," 18.50
"
1651086227.334388,623,0.385944818935506, 44.50," 18.50
"
1651086227.375425,623,0.385944818935506, 44.50," 18.50
"
1651086227.4148831,624,0.38656431302689526, 44.50," 18.50
"
1651086227.4740071,623,0.385944818935506, 44.50," 18.50
"
1651086227.51741,622,0.38532532484411675, 44.50," 18.50
"
1651086227.551643,623,0.385944818935506, 44.50," 18.50
"
1651086227.59251,623,0.385944818935506, 44.50," 18.50
"
1651086227.629282,624,0.38656431302689526, 44.50," 18.50
"
1651086227.6733708,621,0.38470583075272746, 44.50," 18.50
"
1651086227.7318988,622,0.38532532484411675, 44.50," 18.50
"
1651086227.768814,622,0.38532532484411675, 44.50," 18.50
"
1651086227.809543,623,0.385944818935506, 44.50," 18.50
"
1651086227.85048,624,0.38656431302689526, 44.50," 18.50
"
1651086227.887718,623,0.385944818935506, 44.50," 18.50
"
1651086227.928514,622,0.38532532484411675, 44.50," 18.50
"
1651086227.965451,623,0.385944818935506, 44.50," 18.50
"
1651086228.0062232,623,0.385944818935506, 44.50," 18.50
"
1651086228.047096,621,0.38470583075272746, 44.50," 18.50
"
1651086228.083911,621,0.38470583075272746, 44.50," 18.50
"
1651086228.1248682,622,0.38532532484411675, 44.50," 18.50
"
1651086228.165992,622,0.38532532484411675, 44.50," 18.50
"
1651086228.202794,620,0.38408633666133823, 44.50," 18.50
"
1651086228.243711,622,0.38532532484411675, 44.50," 18.50
"
1651086228.284616,623,0.385944818935506, 44.50," 18.50
"
1651086228.3222258,622,0.38532532484411675, 44.50," 18.50
"
1651086228.3624818,621,0.38470583075272746, 44.50," 18.50
"
1651086228.403792,623,0.385944818935506, 44.50," 18.50
"
1651086228.4402518,624,0.38656431302689526, 44.50," 18.50
"
1651086228.48117,623,0.385944818935506, 44.50," 18.50
"
1651086228.522775,621,0.38470583075272746, 44.50," 18.50
"
1651086228.559157,623,0.385944818935506, 44.50," 18.50
"
1651086228.600043,626,0.38780330120967377, 44.50," 18.50
"
1651086228.6411378,624,0.38656431302689526, 44.50," 18.50
"
1651086228.678119,623,0.385944818935506, 44.25," 18.50
"
1651086228.7188292,624,0.38656431302689526, 44.25," 18.50
"
1651086228.759858,625,0.3871838071182845, 44.50," 18.50
"
1651086228.7965581,625,0.3871838071182845, 44.25," 18.50
"
1651086228.837568,623,0.385944818935506, 44.25," 18.50
"
1651086228.874442,622,0.38532532484411675, 44.25," 18.50
"
1651086228.91577,624,0.38656431302689526, 44.25," 18.50
"
1651086228.956566,622,0.38532532484411675, 44.25," 18.50
"
1651086228.993763,622,0.38532532484411675, 44.25," 18.50
"
1651086229.034102,621,0.38470583075272746, 44.50," 18.50
"
1651086229.075163,622,0.38532532484411675, 44.50," 18.50
"
1651086229.112766,620,0.38408633666133823, 44.25," 18.50
"
1651086229.15318,620,0.38408633666133823, 44.25," 18.50
"
1651086229.1939461,620,0.38408633666133823, 44.25," 18.50
"
1651086229.2309918,621,0.38470583075272746, 44.25," 18.50
"
1651086229.271883,619,0.38346684256994895, 44.25," 18.50
"
1651086229.3128982,622,0.38532532484411675, 44.25," 18.50
"
1651086229.349642,622,0.38532532484411675, 44.25," 18.50
"
1651086229.390471,621,0.38470583075272746, 44.25," 18.50
"
1651086229.4316,620,0.38408633666133823, 44.25," 18.50
"
1651086229.46876,621,0.38470583075272746, 44.25," 18.50
"
1651086229.509299,622,0.38532532484411675, 44.25," 18.50
"
1651086229.55048,624,0.38656431302689526, 44.25," 18.50
"
1651086229.587488,621,0.38470583075272746, 44.25," 18.50
"
1651086229.628315,622,0.38532532484411675, 44.25," 18.50
"
1651086229.6691608,624,0.38656431302689526, 44.25," 18.50
"
