Unix Time,Arduino Force Value,Actual Force,Thermocouple Value One,Thermocouple Value Two
1651085583.7915058,0,0.0, 23.50," 24.75
"
1651085583.8037078,0,0.0, 23.25," 24.75
"
1651085583.814911,0,0.0, 23.50," 24.75
"
1651085583.826565,0,0.0, 23.50," 24.75
"
1651085583.837704,0,0.0, 23.50," 24.75
"
1651085583.8497431,0,0.0, 23.50," 24.75
"
1651085583.8606951,0,0.0, 23.50," 24.75
"
1651085583.903255,0,0.0, 23.50," 24.75
"
1651085583.935838,0,0.0, 23.50," 24.75
"
1651085583.972575,0,0.0, 23.50," 24.75
"
1651085584.0097122,0,0.0, 23.50," 24.75
"
1651085584.042012,0,0.0, 23.50," 24.75
"
1651085584.0788102,0,0.0, 23.50," 24.75
"
1651085584.111588,0,0.0, 23.50," 24.75
"
1651085584.14837,0,0.0, 23.50," 24.75
"
1651085584.1852832,0,0.0, 23.50," 24.75
"
1651085584.218839,0,0.0, 23.50," 24.75
"
1651085584.25497,0,0.0, 23.50," 24.75
"
1651085584.308396,0,0.0, 23.50," 24.75
"
1651085584.345116,0,0.0, 23.50," 24.75
"
1651085584.377883,0,0.0, 23.25," 24.75
"
1651085584.41505,0,0.0, 23.25," 24.75
"
1651085584.45087,0,0.0, 23.25," 24.75
"
1651085584.484389,0,0.0, 23.25," 24.75
"
1651085584.521327,0,0.0, 23.25," 24.75
"
1651085584.553867,0,0.0, 23.25," 24.75
"
1651085584.59074,0,0.0, 23.50," 24.75
"
1651085584.628281,0,0.0, 23.50," 24.75
"
1651085584.681046,0,0.0, 23.50," 24.75
"
1651085584.713897,0,0.0, 23.50," 24.75
"
1651085584.7506208,0,0.0, 23.50," 24.75
"
1651085584.787403,0,0.0, 23.50," 24.75
"
1651085584.820747,0,0.0, 23.50," 24.75
"
1651085584.873492,0,0.0, 23.50," 24.75
"
1651085584.910292,0,0.0, 23.50," 24.75
"
1651085584.943001,0,0.0, 23.50," 24.75
"
1651085584.979973,0,0.0, 23.25," 24.75
"
1651085585.016959,0,0.0, 23.25," 24.75
"
1651085585.049441,0,0.0, 23.25," 24.75
"
1651085585.086485,0,0.0, 23.25," 24.75
"
1651085585.123262,0,0.0, 23.25," 24.75
"
1651085585.1765451,0,0.0, 23.50," 24.75
"
1651085585.22576,0,0.0, 23.50," 24.75
"
1651085585.26244,0,0.0, 23.25," 24.75
"
1651085585.299459,0,0.0, 23.25," 24.75
"
1651085585.332083,0,0.0, 23.50," 24.75
"
1651085585.369157,0,0.0, 23.50," 24.75
"
1651085585.405796,0,0.0, 23.25," 24.75
"
1651085585.4394948,0,0.0, 23.25," 24.75
"
1651085585.475446,0,0.0, 23.25," 24.75
"
1651085585.512289,0,0.0, 23.25," 24.75
"
1651085585.549441,0,0.0, 23.25," 24.75
"
1651085585.598424,0,0.0, 23.25," 24.75
"
1651085585.635262,0,0.0, 23.25," 24.75
"
1651085585.667969,0,0.0, 23.25," 24.75
"
1651085585.705149,0,0.0, 23.25," 24.75
"
1651085585.741765,0,0.0, 23.25," 24.75
"
1651085585.794981,0,0.0, 23.25," 24.75
"
1651085585.848268,0,0.0, 23.25," 24.75
"
1651085585.901637,0,0.0, 23.25," 24.75
"
1651085585.954667,0,0.0, 23.25," 24.75
"
1651085585.987519,0,0.0, 23.25," 24.75
"
1651085586.024666,0,0.0, 23.50," 24.75
"
1651085586.0778592,0,0.0, 23.25," 24.75
"
1651085586.131083,0,0.0, 23.25," 24.75
"
1651085586.1850948,0,0.0, 23.25," 24.75
"
1651085586.237356,0,0.0, 23.25," 24.75
"
1651085586.270137,0,0.0, 23.25," 24.75
"
1651085586.3070772,0,0.0, 23.25," 24.75
"
1651085586.343862,0,0.0, 23.25," 24.75
"
1651085586.37665,0,0.0, 23.25," 24.75
"
1651085586.413412,0,0.0, 23.25," 24.75
"
1651085586.466759,0,0.0, 23.25," 24.75
"
1651085586.52016,0,0.0, 23.25," 24.75
"
1651085586.553,0,0.0, 23.25," 24.75
"
1651085586.5905302,0,0.0, 23.25," 24.75
"
1651085586.6428502,0,0.0, 23.25," 24.75
"
1651085586.696047,0,0.0, 23.50," 24.75
"
1651085586.7329679,0,0.0, 23.25," 24.75
"
1651085586.765665,0,0.0, 23.25," 24.75
"
1651085586.8026628,0,0.0, 23.25," 24.75
"
1651085586.8354611,0,0.0, 23.50," 24.75
"
1651085586.8722858,0,0.0, 23.50," 24.75
"
1651085586.909162,0,0.0, 23.25," 24.75
"
1651085586.9418519,0,0.0, 23.25," 24.75
"
1651085586.978633,0,0.0, 23.50," 24.75
"
1651085587.01558,0,0.0, 23.50," 24.75
"
1651085587.048501,0,0.0, 23.50," 24.75
"
1651085587.0852082,0,0.0, 23.50," 24.75
"
1651085587.122051,0,0.0, 23.50," 24.75
"
1651085587.155027,0,0.0, 23.50," 24.75
"
1651085587.191725,0,0.0, 23.50," 24.75
"
1651085587.224403,0,0.0, 23.50," 24.75
"
1651085587.261638,0,0.0, 23.50," 24.75
"
1651085587.298432,0,0.0, 23.50," 24.75
"
1651085587.330987,0,0.0, 23.25," 24.75
"
1651085587.367724,0,0.0, 23.25," 24.75
"
1651085587.4046452,0,0.0, 23.50," 24.75
"
1651085587.437419,0,0.0, 23.50," 24.75
"
1651085587.474661,0,0.0, 23.25," 24.75
"
1651085587.511449,0,0.0, 23.25," 24.75
"
1651085587.5438771,0,0.0, 23.25," 24.75
"
1651085587.581109,0,0.0, 23.25," 24.75
"
1651085587.61356,0,0.0, 23.25," 24.75
"
1651085587.650655,0,0.0, 23.50," 24.75
"
1651085587.6873999,0,0.0, 23.50," 24.75
"
1651085587.7200692,0,0.0, 23.25," 24.75
"
1651085587.756853,0,0.0, 23.25," 24.75
"
1651085587.793843,0,0.0, 23.25," 24.75
"
1651085587.82654,0,0.0, 23.25," 24.75
"
1651085587.8633978,0,0.0, 23.50," 24.75
"
1651085587.900216,0,0.0, 23.50," 24.75
"
1651085587.933076,0,0.0, 23.50," 24.75
"
1651085587.969878,0,0.0, 23.50," 24.75
"
1651085588.002764,0,0.0, 23.25," 24.75
"
1651085588.039664,0,0.0, 23.25," 24.75
"
1651085588.0763059,0,0.0, 23.50," 24.75
"
1651085588.109067,0,0.0, 23.50," 24.75
"
1651085588.146196,0,0.0, 23.25," 24.75
"
1651085588.183149,0,0.0, 23.25," 24.75
"
1651085588.215735,0,0.0, 23.00," 24.25
"
1651085588.252602,0,0.0, 23.00," 24.25
"
1651085588.289422,0,0.0, 23.25," 24.75
"
1651085588.342819,0,0.0, 23.25," 24.75
"
1651085588.3921752,0,0.0, 23.25," 24.75
"
1651085588.42884,0,0.0, 23.25," 24.75
"
1651085588.465407,0,0.0, 23.25," 24.75
"
1651085588.5188491,0,0.0, 23.50," 24.75
"
1651085588.5720131,0,0.0, 23.50," 24.75
"
1651085588.6046982,0,0.0, 23.25," 24.75
"
1651085588.641734,0,0.0, 23.25," 24.75
"
1651085588.678447,0,0.0, 23.50," 24.75
"
1651085588.711276,0,0.0, 23.50," 24.75
"
1651085588.748188,0,0.0, 23.25," 24.75
"
1651085588.781163,0,0.0, 23.25," 24.75
"
1651085588.8181381,0,0.0, 23.25," 24.50
"
1651085588.8545952,0,0.0, 23.25," 24.50
"
1651085588.887394,0,0.0, 23.25," 24.75
"
1651085588.924331,0,0.0, 23.25," 24.75
"
1651085588.961153,0,0.0, 23.50," 24.75
"
1651085589.014326,0,0.0, 23.50," 24.75
"
1651085589.067921,0,0.0, 23.25," 24.75
"
1651085589.100381,0,0.0, 23.25," 24.75
"
1651085589.1371672,0,0.0, 23.25," 24.75
"
1651085589.170152,0,0.0, 23.25," 24.75
"
1651085589.206799,0,0.0, 23.25," 24.75
"
1651085589.243714,0,0.0, 23.25," 24.75
"
1651085589.297073,0,0.0, 23.25," 24.75
"
1651085589.3300102,0,0.0, 23.25," 24.75
"
1651085589.366633,0,0.0, 23.25," 24.75
"
1651085589.4035141,0,0.0, 23.25," 24.75
"
1651085589.4362528,0,0.0, 23.25," 24.75
"
1651085589.473241,0,0.0, 23.25," 24.75
"
1651085589.509987,0,0.0, 23.25," 24.75
"
1651085589.542828,0,0.0, 23.25," 24.75
"
1651085589.5797372,0,0.0, 23.25," 24.75
"
1651085589.632799,0,0.0, 23.25," 24.75
"
1651085589.686243,0,0.0, 23.25," 24.75
"
1651085589.718869,0,0.0, 23.50," 24.75
"
