Unix Time,Arduino Force Value,Actual Force,Thermocouple Value One,Thermocouple Value Two
1651089340.771161,0,0.0, 28.50," 29.75
"
1651089340.783396,0,0.0, 28.50," 29.75
"
1651089340.79425,0,0.0, 28.50," 29.75
"
1651089340.8066719,0,0.0, 28.50," 29.75
"
1651089340.818348,0,0.0, 28.50," 29.75
"
1651089340.829257,0,0.0, 28.50," 29.75
"
1651089340.840418,0,0.0, 28.50," 29.75
"
1651089340.8502452,0,0.0, 28.50," 29.75
"
1651089340.861143,0,0.0, 28.50," 29.75
"
1651089340.873835,0,0.0, 28.50," 29.75
"
1651089340.8870862,0,0.0, 28.50," 29.75
"
1651089340.903212,0,0.0, 28.50," 29.75
"
1651089340.919261,0,0.0, 28.75," 29.75
"
1651089340.93589,0,0.0, 28.75," 29.75
"
1651089340.952204,0,0.0, 28.75," 29.75
"
1651089340.965964,0,0.0, 28.75," 29.75
"
1651089340.97788,0,0.0, 28.50," 29.75
"
1651089340.989386,0,0.0, 28.75," 29.75
"
1651089341.001375,0,0.0, 28.75," 29.75
"
1651089341.013212,0,0.0, 28.75," 29.75
"
1651089341.025318,0,0.0, 28.75," 29.75
"
1651089341.0374851,0,0.0, 28.75," 29.75
"
1651089341.049207,0,0.0, 28.75," 29.75
"
1651089341.060022,0,0.0, 28.75," 29.75
"
1651089341.0700648,0,0.0, 28.75," 29.75
"
1651089341.0823581,0,0.0, 28.75," 29.75
"
1651089341.117962,0,0.0, 28.75," 29.75
"
1651089341.1549041,0,0.0, 28.75," 29.75
"
1651089341.187895,0,0.0, 28.75," 29.75
"
1651089341.2244449,0,0.0, 28.75," 29.75
"
1651089341.262196,0,0.0, 28.75," 29.75
"
1651089341.294455,0,0.0, 28.75," 29.75
"
1651089341.330922,0,0.0, 28.75," 29.75
"
1651089341.3687801,0,0.0, 28.75," 29.75
"
1651089341.4212842,0,0.0, 28.75," 29.75
"
1651089341.453852,0,0.0, 28.75," 29.75
"
1651089341.49069,0,0.0, 28.75," 29.75
"
1651089341.527814,0,0.0, 28.75," 29.75
"
1651089341.5604491,0,0.0, 28.75," 29.75
"
1651089341.5972009,0,0.0, 28.75," 29.75
"
1651089341.629935,0,0.0, 28.75," 29.75
"
1651089341.667438,0,0.0, 28.75," 29.75
"
1651089341.703677,0,0.0, 28.75," 29.75
"
1651089341.7365692,0,0.0, 28.75," 29.75
"
1651089341.773767,0,0.0, 28.75," 29.75
"
1651089341.8268101,0,0.0, 28.75," 29.75
"
1651089341.8639412,0,0.0, 28.75," 29.75
"
1651089341.896397,0,0.0, 28.75," 29.75
"
1651089341.933089,0,0.0, 28.75," 29.75
"
1651089341.970387,0,0.0, 28.75," 29.75
"
1651089342.019073,0,0.0, 28.75," 29.75
"
1651089342.0558772,0,0.0, 28.75," 29.75
"
1651089342.0930922,0,0.0, 28.75," 29.75
"
1651089342.125828,0,0.0, 28.75," 29.75
"
1651089342.162569,0,0.0, 28.75," 29.75
"
1651089342.19947,0,0.0, 28.75," 29.75
"
1651089342.2320662,0,0.0, 28.75," 29.75
"
1651089342.2694678,0,0.0, 28.75," 29.75
"
1651089342.322222,0,0.0, 28.75," 29.75
"
1651089342.3601851,0,0.0, 28.75," 29.75
"
1651089342.408323,0,0.0, 28.75," 29.75
"
1651089342.445057,0,0.0, 28.75," 29.75
"
1651089342.484509,0,0.0, 28.75," 29.75
"
1651089342.535161,0,0.0, 28.75," 29.75
"
1651089342.567968,0,0.0, 28.75," 29.75
"
1651089342.604835,0,0.0, 28.75," 29.75
"
1651089342.641689,0,0.0, 28.75," 29.75
"
1651089342.675159,0,0.0, 28.75," 29.75
"
1651089342.7278469,0,0.0, 28.75," 29.75
"
1651089342.765055,0,0.0, 28.75," 29.75
"
1651089342.8257432,0,0.0, 28.75," 29.75
"
1651089342.8721821,0,0.0, 28.75," 29.75
"
1651089342.924392,0,0.0, 28.75," 29.75
"
1651089342.957056,0,0.0, 28.75," 29.75
"
1651089342.994076,0,0.0, 28.75," 29.75
"
1651089343.0307672,0,0.0, 28.75," 29.75
"
1651089343.063555,0,0.0, 28.75," 29.75
"
1651089343.100519,0,0.0, 28.75," 29.75
"
1651089343.137234,0,0.0, 28.75," 29.75
"
1651089343.186452,0,0.0, 28.75," 29.75
"
1651089343.2234318,0,0.0, 28.75," 29.75
"
1651089343.260103,0,0.0, 28.75," 29.75
"
1651089343.313576,0,0.0, 28.75," 29.75
"
1651089343.366614,0,0.0, 28.75," 29.75
"
1651089343.420005,0,0.0, 28.75," 29.75
"
1651089343.473372,0,0.0, 28.75," 29.75
"
1651089343.526507,0,0.0, 28.75," 29.75
"
1651089343.575488,0,0.0, 28.75," 29.75
"
1651089343.6128058,0,0.0, 28.75," 29.75
"
1651089343.649336,0,0.0, 28.75," 29.75
"
1651089343.7027268,0,0.0, 28.75," 29.75
"
1651089343.73528,0,0.0, 28.75," 29.75
"
1651089343.77218,0,0.0, 28.75," 29.75
"
1651089343.809097,0,0.0, 28.75," 29.75
"
1651089343.8622599,0,0.0, 28.75," 29.75
"
1651089343.916029,0,0.0, 28.75," 29.75
"
1651089343.9484959,0,0.0, 28.75," 29.75
"
1651089343.9852219,0,0.0, 28.75," 29.75
"
1651089344.018,0,0.0, 28.75," 29.75
"
1651089344.054791,0,0.0, 28.75," 29.75
"
1651089344.091698,0,0.0, 28.75," 29.75
"
1651089344.145131,0,0.0, 28.75," 29.75
"
1651089344.177629,0,0.0, 28.75," 29.75
"
1651089344.214776,0,0.0, 28.75," 29.75
"
1651089344.2514718,0,0.0, 28.75," 29.75
"
1651089344.2842581,0,0.0, 28.75," 29.75
"
1651089344.321077,0,0.0, 28.75," 29.75
"
1651089344.37423,0,0.0, 28.75," 29.75
"
1651089344.407113,0,0.0, 28.75," 29.75
"
1651089344.44402,0,0.0, 28.75," 29.75
"
1651089344.4809558,0,0.0, 28.75," 29.75
"
1651089344.513663,0,0.0, 28.75," 29.75
"
1651089344.5506601,0,0.0, 28.75," 29.75
"
1651089344.603595,0,0.0, 28.75," 29.75
"
1651089344.640426,0,0.0, 28.75," 29.75
"
1651089344.673414,0,0.0, 28.75," 29.75
"
1651089344.7103171,0,0.0, 28.75," 29.75
"
1651089344.763416,0,0.0, 28.75," 29.75
"
1651089344.7961202,0,0.0, 28.75," 29.75
"
1651089344.832969,0,0.0, 28.75," 29.75
"
1651089344.869974,0,0.0, 28.75," 29.75
"
1651089344.902575,0,0.0, 28.75," 29.75
"
1651089344.939532,0,0.0, 28.75," 29.75
"
1651089344.976345,0,0.0, 28.75," 29.75
"
1651089345.0094771,0,0.0, 28.75," 29.75
"
1651089345.046014,0,0.0, 28.75," 29.75
"
1651089345.0832949,0,0.0, 28.75," 29.75
"
1651089345.1157818,0,0.0, 28.75," 29.75
"
1651089345.152586,0,0.0, 28.75," 29.75
"
1651089345.185298,0,0.0, 28.75," 29.75
"
1651089345.222062,0,0.0, 28.75," 29.75
"
1651089345.258945,0,0.0, 28.75," 29.75
"
1651089345.291711,0,0.0, 28.75," 29.75
"
1651089345.3287659,0,0.0, 28.75," 29.75
"
1651089345.36565,0,0.0, 28.75," 29.75
"
1651089345.398247,0,0.0, 28.75," 29.75
"
1651089345.435097,0,0.0, 28.75," 29.75
"
1651089345.472089,0,0.0, 28.75," 29.75
"
1651089345.5211499,0,0.0, 28.75," 29.75
"
1651089345.5580878,0,0.0, 28.75," 29.75
"
1651089345.594841,0,0.0, 28.75," 29.75
"
1651089345.6276941,0,0.0, 28.75," 29.75
"
1651089345.6647239,0,0.0, 28.75," 29.75
"
1651089345.701401,0,0.0, 28.75," 29.75
"
1651089345.7344131,0,0.0, 28.75," 29.75
"
1651089345.77102,0,0.0, 28.75," 29.75
"
1651089345.807926,0,0.0, 28.75," 29.75
"
1651089345.861063,0,0.0, 28.75," 29.75
"
1651089345.910351,0,0.0, 28.75," 29.75
"
1651089345.947073,0,0.0, 28.75," 29.75
"
1651089345.9839418,0,0.0, 28.75," 29.75
"
1651089346.016659,0,0.0, 28.75," 29.75
"
1651089346.0537941,0,0.0, 28.75," 29.75
"
1651089346.090423,0,0.0, 28.75," 29.75
"
1651089346.143818,0,0.0, 28.75," 29.75
"
1651089346.176417,0,0.0, 28.75," 29.75
"
