Unix Time,Arduino Force Value,Actual Force,Thermocouple Value One,Thermocouple Value Two
1651085890.932097,625,0.3871838071182845, 7.50," 23.00
"
1651085890.94398,626,0.38780330120967377, 7.50," 23.00
"
1651085890.9548218,629,0.3896617834838415, 7.50," 23.00
"
1651085890.965843,628,0.3890422893924522, 7.25," 23.00
"
1651085890.9768991,631,0.39090077166662, 7.25," 22.75
"
1651085890.989113,630,0.39028127757523073, 7.00," 22.75
"
1651085890.999865,628,0.3890422893924522, 7.00," 23.00
"
1651085891.012418,636,0.39399824212356627, 7.00," 23.00
"
1651085891.023094,638,0.3952372303063448, 6.75," 22.75
"
1651085891.0400481,635,0.39337874803217704, 6.75," 23.00
"
1651085891.059359,635,0.39337874803217704, 6.50," 22.75
"
1651085891.077904,631,0.39090077166662, 6.50," 22.75
"
1651085891.123672,631,0.39090077166662, 6.50," 22.75
"
1651085891.160801,630,0.39028127757523073, 6.00," 22.75
"
1651085891.19713,631,0.39090077166662, 6.00," 22.75
"
1651085891.233988,629,0.3896617834838415, 6.50," 22.75
"
1651085891.274998,630,0.39028127757523073, 6.50," 22.75
"
1651085891.311716,630,0.39028127757523073, 6.50," 22.75
"
1651085891.3486762,629,0.3896617834838415, 6.50," 22.75
"
1651085891.385419,628,0.3890422893924522, 6.50," 23.00
"
1651085891.422493,629,0.3896617834838415, 6.50," 23.00
"
1651085891.4592419,629,0.3896617834838415, 6.50," 22.75
"
1651085891.497165,628,0.3890422893924522, 6.50," 22.75
"
1651085891.537141,628,0.3890422893924522, 6.50," 23.00
"
1651085891.573956,629,0.3896617834838415, 6.50," 23.00
"
1651085891.6114292,628,0.3890422893924522, 6.50," 23.00
"
1651085891.6478348,629,0.3896617834838415, 6.50," 23.00
"
1651085891.68465,628,0.3890422893924522, 6.50," 22.75
"
1651085891.722689,628,0.3890422893924522, 6.50," 22.75
"
1651085891.75824,628,0.3890422893924522, 6.50," 23.00
"
1651085891.7995362,628,0.3890422893924522, 6.50," 23.00
"
1651085891.836062,628,0.3890422893924522, 6.50," 22.75
"
1651085891.8731031,627,0.388422795301063, 6.50," 22.75
"
1651085891.910335,628,0.3890422893924522, 6.50," 22.75
"
1651085891.947207,628,0.3890422893924522, 6.50," 22.75
"
1651085891.9837701,628,0.3890422893924522, 6.50," 22.75
"
1651085892.0253289,626,0.38780330120967377, 6.50," 22.75
"
1651085892.061926,630,0.39028127757523073, 6.50," 23.00
"
1651085892.098339,627,0.388422795301063, 6.50," 23.00
"
1651085892.135139,629,0.3896617834838415, 6.50," 22.75
"
1651085892.172054,628,0.3890422893924522, 6.50," 22.75
"
1651085892.2087529,629,0.3896617834838415, 6.25," 22.75
"
1651085892.245861,629,0.3896617834838415, 6.25," 22.75
"
1651085892.282442,630,0.39028127757523073, 6.50," 22.75
"
1651085892.323967,629,0.3896617834838415, 6.50," 22.75
"
1651085892.376719,628,0.3890422893924522, 6.50," 22.75
"
1651085892.414936,632,0.39152026575800924, 6.25," 22.75
"
1651085892.454527,630,0.39028127757523073, 6.25," 22.75
"
1651085892.491457,631,0.39090077166662, 6.25," 22.75
"
1651085892.52838,631,0.39090077166662, 6.25," 22.75
"
1651085892.565187,631,0.39090077166662, 6.25," 22.75
"
1651085892.6019142,630,0.39028127757523073, 6.25," 22.75
"
1651085892.638824,631,0.39090077166662, 6.25," 22.75
"
1651085892.675713,629,0.3896617834838415, 6.25," 22.75
"
1651085892.717205,631,0.39090077166662, 6.25," 22.75
"
1651085892.753549,630,0.39028127757523073, 6.25," 22.75
"
1651085892.7904031,629,0.3896617834838415, 6.25," 22.75
"
1651085892.829804,630,0.39028127757523073, 6.25," 22.75
"
1651085892.884606,630,0.39028127757523073, 6.25," 22.75
"
1651085892.923245,628,0.3890422893924522, 6.50," 22.75
"
1651085892.958464,630,0.39028127757523073, 6.50," 22.75
"
1651085892.9952152,628,0.3890422893924522, 6.25," 22.75
"
1651085893.032493,630,0.39028127757523073, 6.25," 22.75
"
1651085893.0730681,629,0.3896617834838415, 6.25," 22.75
"
1651085893.110229,630,0.39028127757523073, 6.25," 22.75
"
1651085893.146691,628,0.3890422893924522, 6.25," 22.75
"
1651085893.18384,632,0.39152026575800924, 6.25," 22.75
"
1651085893.220593,629,0.3896617834838415, 6.25," 22.75
"
1651085893.2574348,631,0.39090077166662, 6.25," 22.75
"
1651085893.2942662,629,0.3896617834838415, 6.25," 22.75
"
1651085893.33526,631,0.39090077166662, 6.25," 22.75
"
1651085893.3721118,629,0.3896617834838415, 6.25," 22.75
"
1651085893.408968,631,0.39090077166662, 6.25," 22.75
"
1651085893.445707,628,0.3890422893924522, 6.25," 22.75
"
1651085893.482674,631,0.39090077166662, 6.25," 22.75
"
1651085893.519474,629,0.3896617834838415, 6.25," 22.75
"
1651085893.556362,631,0.39090077166662, 6.25," 22.75
"
1651085893.597329,630,0.39028127757523073, 6.25," 22.75
"
1651085893.6342368,630,0.39028127757523073, 6.25," 22.75
"
1651085893.671158,629,0.3896617834838415, 6.25," 22.75
"
1651085893.707948,631,0.39090077166662, 6.25," 22.75
"
1651085893.744813,630,0.39028127757523073, 6.25," 22.75
"
1651085893.7817411,630,0.39028127757523073, 6.25," 22.75
"
1651085893.81853,628,0.3890422893924522, 6.25," 22.75
"
1651085893.859575,631,0.39090077166662, 6.25," 22.75
"
1651085893.896372,629,0.3896617834838415, 6.25," 22.75
"
1651085893.933486,631,0.39090077166662, 6.25," 22.75
"
1651085893.970123,628,0.3890422893924522, 6.25," 22.75
"
1651085894.0068328,630,0.39028127757523073, 6.25," 22.75
"
1651085894.0438058,630,0.39028127757523073, 6.25," 22.75
"
1651085894.080885,630,0.39028127757523073, 6.25," 22.75
"
1651085894.1216772,628,0.3890422893924522, 6.25," 22.75
"
1651085894.175037,630,0.39028127757523073, 6.25," 22.75
"
1651085894.211657,628,0.3890422893924522, 6.25," 22.75
"
1651085894.252779,630,0.39028127757523073, 6.25," 22.75
"
1651085894.305853,629,0.3896617834838415, 6.25," 22.75
"
1651085894.3427498,629,0.3896617834838415, 6.25," 22.75
"
1651085894.3837461,629,0.3896617834838415, 6.25," 22.75
"
1651085894.437065,628,0.3890422893924522, 6.00," 22.50
"
1651085894.473964,631,0.39090077166662, 6.00," 22.50
"
1651085894.514768,629,0.3896617834838415, 6.00," 22.75
"
1651085894.551741,630,0.39028127757523073, 6.25," 22.75
"
1651085894.588491,630,0.39028127757523073, 6.25," 22.75
"
1651085894.625304,629,0.3896617834838415, 6.25," 22.75
"
1651085894.6622741,630,0.39028127757523073, 6.25," 22.75
"
1651085894.699276,630,0.39028127757523073, 6.25," 22.75
"
1651085894.736246,628,0.3890422893924522, 6.25," 22.75
"
1651085894.777052,630,0.39028127757523073, 6.25," 22.75
"
1651085894.813744,629,0.3896617834838415, 6.25," 22.75
"
1651085894.850826,631,0.39090077166662, 6.25," 22.75
"
1651085894.887554,629,0.3896617834838415, 6.25," 23.00
"
